map,algorithm,weight,steps,normalized_steps,optimality_ratio,success
AR0016SR,W-SIPP Re-exp,1.5,113,0.2591743119266055,1.013157894736842,true
AR0016SR,Focal SIPP,1.5,77,0.17660550458715596,1.013157894736842,true
AR0016SR,W-SIPP Dupl,2.0,100,0.22935779816513763,1.013157894736842,true
AR0016SR,W-SIPP Re-exp,2.0,92,0.21100917431192662,1.013157894736842,true
AR0016SR,Focal SIPP,2.0,77,0.17660550458715596,1.013157894736842,true
AR0016SR,W-SIPP Dupl,4.0,97,0.22247706422018348,1.013157894736842,true
AR0016SR,W-SIPP Re-exp,4.0,95,0.21788990825688073,1.013157894736842,true
AR0016SR,Focal SIPP,4.0,77,0.17660550458715596,1.013157894736842,true
AR0016SR,W-SIPP Dupl,1.1,69,1.0,1.0,true
AR0016SR,W-SIPP Re-exp,1.1,69,1.0,1.0,true
AR0016SR,Focal SIPP,1.1,41,0.5942028985507246,1.0,true
AR0016SR,W-SIPP Dupl,1.25,71,1.0289855072463767,1.0,true
AR0016SR,W-SIPP Re-exp,1.25,71,1.0289855072463767,1.0,true
AR0016SR,Focal SIPP,1.25,41,0.5942028985507246,1.0,true
AR0016SR,W-SIPP Dupl,1.5,83,1.2028985507246377,1.0,true
AR0016SR,W-SIPP Re-exp,1.5,85,1.2318840579710144,1.0,true
AR0016SR,Focal SIPP,1.5,41,0.5942028985507246,1.0,true
AR0016SR,W-SIPP Dupl,2.0,94,1.3623188405797102,1.146341463414634,true
AR0016SR,W-SIPP Re-exp,2.0,106,1.536231884057971,1.146341463414634,true
AR0016SR,Focal SIPP,2.0,41,0.5942028985507246,1.0,true
AR0016SR,W-SIPP Dupl,4.0,195,2.8260869565217392,1.5365853658536586,true
AR0016SR,W-SIPP Re-exp,4.0,137,1.9855072463768115,1.1951219512195121,true
AR0016SR,Focal SIPP,4.0,41,0.5942028985507246,1.0,true
AR0016SR,W-SIPP Dupl,1.1,578,1.6011080332409973,1.0,true
AR0016SR,W-SIPP Re-exp,1.1,345,0.9556786703601108,1.0,true
