map,algorithm,weight,steps,normalized_steps,optimality_ratio,success
8room_000,W-SIPP Re-exp,4.0,2165,0.950812472551603,1.3118279569892473,true
8room_000,Focal SIPP,4.0,89,0.03908651734738691,1.0,true
8room_000,W-SIPP Dupl,1.1,2838,1.3169373549883991,1.0,true
8room_000,W-SIPP Re-exp,1.1,1904,0.8835266821345708,1.0,true
8room_000,Focal SIPP,1.1,2236,1.0375870069605568,1.0390625,true
8room_000,W-SIPP Dupl,1.25,1933,0.896983758700696,1.0390625,true
8room_000,W-SIPP Re-exp,1.25,1463,0.6788863109048724,1.0390625,true
8room_000,Focal SIPP,1.25,3618,1.6788863109048724,1.0234375,true
8room_000,W-SIPP Dupl,1.5,1320,0.6125290023201856,1.1015625,true
8room_000,W-SIPP Re-exp,1.5,1400,0.6496519721577726,1.0703125,true
8room_000,Focal SIPP,1.5,2112,0.980046403712297,1.0390625,true
8room_000,W-SIPP Dupl,2.0,851,0.3948955916473318,1.1640625,true
8room_000,W-SIPP Re-exp,2.0,1063,0.49327146171693736,1.1328125,true
8room_000,Focal SIPP,2.0,166,0.07703016241299304,1.0546875,true
8room_000,W-SIPP Dupl,4.0,532,0.2468677494199536,1.328125,true
8room_000,W-SIPP Re-exp,4.0,751,0.34849187935034803,1.1953125,true
8room_000,Focal SIPP,4.0,157,0.0728538283062645,1.0390625,true
8room_000,W-SIPP Dupl,1.1,8286,1.772027373823781,1.0,true
8room_000,W-SIPP Re-exp,1.1,4402,0.9414029084687767,1.0,true
8room_000,Focal SIPP,1.1,5322,1.1381522668947819,1.0,true
8room_000,W-SIPP Dupl,1.25,6409,1.3706159110350726,1.0,true
8room_000,W-SIPP Re-exp,1.25,3748,0.8015397775876818,1.0,true
8room_000,Focal SIPP,1.25,6008,1.2848588537211292,1.0,true
8room_000,W-SIPP Dupl,1.5,4005,0.8565012831479898,1.0,true
8room_000,W-SIPP Re-exp,1.5,3218,0.6881950384944396,1.0,true
8room_000,Focal SIPP,1.5,3249,0.6948246364414029,1.0,true
8room_000,W-SIPP Dupl,2.0,636,0.1360136869118905,1.0,true
8room_000,W-SIPP Re-exp,2.0,1112,0.23781009409751924,1.0,true
8room_000,Focal SIPP,2.0,9701,2.0746364414029084,1.0,true
8room_000,W-SIPP Dupl,4.0,206,0.044054747647562016,1.0,true
8room_000,W-SIPP Re-exp,4.0,255,0.05453378956372968,1.0,true
8room_000,Focal SIPP,4.0,73,0.01561163387510693,1.0,true
8room_000,W-SIPP Dupl,1.1,302,1.7976190476190477,1.0,true
8room_000,W-SIPP Re-exp,1.1,168,1.0,1.0,true
8room_000,Focal SIPP,1.1,172,1.0238095238095237,1.0,true
8room_000,W-SIPP Dupl,1.25,245,1.4583333333333333,1.0,true
8room_000,W-SIPP Re-exp,1.25,148,0.8809523809523809,1.0,true
8room_000,Focal SIPP,1.25,139,0.8273809523809523,1.0,true
8room_000,W-SIPP Dupl,1.5,147,0.875,1.0,true
8room_000,W-SIPP Re-exp,1.5,104,0.6190476190476191,1.0,true
8room_000,Focal SIPP,1.5,102,0.6071428571428571,1.0,true
8room_000,W-SIPP Dupl,2.0,55,0.3273809523809524,1.0,true
8room_000,W-SIPP Re-exp,2.0,55,0.3273809523809524,1.0,true
8room_000,Focal SIPP,2.0,17,0.10119047619047619,1.0,true
8room_000,W-SIPP Dupl,4.0,26,0.15476190476190477,1.0,true
8room_000,W-SIPP Re-exp,4.0,26,0.15476190476190477,1.0,true
8room_000,Focal SIPP,4.0,17,0.10119047619047619,1.0,true
8room_000,W-SIPP Dupl,1.1,1044,1.1347826086956523,1.0,true
8room_000,W-SIPP Re-exp,1.1,659,0.716304347826087,1.0,true
8room_000,Focal SIPP,1.1,769,0.8358695652173913,1.0,true
8room_000,W-SIPP Dupl,1.25,276,0.3,1.0,true
8room_000,W-SIPP Re-exp,1.25,276,0.3,1.0,true
8room_000,Focal SIPP,1.25,76,0.08260869565217391,1.0,true
8room_000,W-SIPP Dupl,1.5,271,0.29456521739130437,1.0,true
8room_000,W-SIPP Re-exp,1.5,288,0.3130434782608696,1.0,true
8room_000,Focal SIPP,1.5,76,0.08260869565217391,1.0,true
8room_000,W-SIPP Dupl,2.0,339,0.3684782608695652,1.0,true
8room_000,W-SIPP Re-exp,2.0,402,0.4369565217391304,1.0,true
8room_000,Focal SIPP,2.0,76,0.08260869565217391,1.0,true
8room_000,W-SIPP Dupl,4.0,354,0.3847826086956522,1.329268292682927,true
8room_000,W-SIPP Re-exp,4.0,384,0.41739130434782606,1.329268292682927,true
8room_000,Focal SIPP,4.0,76,0.08260869565217391,1.0,true
8room_000,W-SIPP Dupl,1.1,21,1.0,1.0,true
8room_000,W-SIPP Re-exp,1.1,21,1.0,1.0,true
8room_000,Focal SIPP,1.1,11,0.5238095238095238,1.0,true
8room_000,W-SIPP Dupl,1.25,21,1.0,1.0,true
8room_000,W-SIPP Re-exp,1.25,21,1.0,1.0,true
8room_000,Focal SIPP,1.25,11,0.5238095238095238,1.0,true
8room_000,W-SIPP Dupl,1.5,22,1.0476190476190477,1.0,true
8room_000,W-SIPP Re-exp,1.5,22,1.0476190476190477,1.0,true
8room_000,Focal SIPP,1.5,11,0.5238095238095238,1.0,true
8room_000,W-SIPP Dupl,2.0,28,1.3333333333333333,1.0,true
8room_000,W-SIPP Re-exp,2.0,28,1.3333333333333333,1.0,true
8room_000,Focal SIPP,2.0,11,0.5238095238095238,1.0,true
8room_000,W-SIPP Dupl,4.0,40,1.9047619047619047,1.0,true
8room_000,W-SIPP Re-exp,4.0,40,1.9047619047619047,1.0,true
8room_000,Focal SIPP,4.0,11,0.5238095238095238,1.0,true
8room_000,W-SIPP Dupl,1.1,3729,1.7614548889938593,1.0,true
8room_000,W-SIPP Re-exp,1.1,1972,0.9315068493150684,1.0,true
8room_000,Focal SIPP,1.1,2055,0.9707132735002362,1.0,true
8room_000,W-SIPP Dupl,1.25,3066,1.4482758620689655,1.0,true
8room_000,W-SIPP Re-exp,1.25,1763,0.8327822390174776,1.0,true
8room_000,Focal SIPP,1.25,1614,0.7623996221067548,1.0,true
8room_000,W-SIPP Dupl,1.5,2393,1.1303731695795938,1.0,true
8room_000,W-SIPP Re-exp,1.5,1499,0.7080774681152574,1.0,true
8room_000,Focal SIPP,1.5,1031,0.4870099196976854,1.0,true
